Datetime,dM_0030_0044,dM_0044_0075,dM_0075_0100,dM_0100_0120,dM_0120_0140,dM_0140_0200,dM_0200_0250,dM_0250_0500,dM_0500_0750,dM_0750_1000,dM_x1,dM_x2,dM_x3,dM_x4,dM_x5,dM_x6,dM_1000_x,dN_0030_0044,dN_0044_0075,dN_0075_0100,dN_0100_0120,dN_0120_0140,dN_0140_0200,dN_0200_0250,dN_0250_0500,dN_0500_0750,dN_0750_1000,dN_x1,dN_x2,dN_x3,dN_x4,dN_x5,dN_x6,dN_1000_x,dC_T,dN_T,dM_T,averageAirTemp,averageRelativeHumidity,averageAirPressure,averageSeaLevelPressure,averageWindDirection,maxWindSpeed,averageWindSpeed,rainIntensity,PM10_Krk_AlKr,PM10_Krk_Buja,PM10_Krk_Bulw,PM10_Krk_Diet,PM10_Krk_osPi,PM10_Krk_Swo,PM10_Krk_osWa,PM10_Krk_ZlRo,PM25_Krk_AlKr,PM25_Krk_Bulw
10-Feb-2022 23:00:00,2.0579277175424,1.71858465387823,0.467776480400336,0.161589936057825,0.167613844870725,0.810302196274667,0.492267445093134,4.01215874339727,1.84480205726995,1.70181039755352,0,0,0,0,0,0,0,74.9126263552961,14.5916725048652,1.3068868501529,0.22999277175424,0.144929385599111,0.305487628579371,0.0816080066722272,0.13082513205449,0.0139332777314429,0.00478037253266611,0,0,0,0,0,0,0,1512.36947456214,91.7224920767306,13.4349410619961,8.3416666666667,55.03,990.84,1015.8866666667,265,3.5,1.625,0,39.5,22.9,28.7,13.6,25.4,20.7,28.7,29.1,19.2,26
11-Feb-2022 00:00:00,2.27398581757508,1.57457647385984,0.417430756395998,0.142159065628476,0.154127919911012,0.741404894327027,0.320364849833149,2.21098025583984,1.05660122358176,0.833500278086763,0,0,0,0,0,0,0,82.7771551724138,13.3690122358176,1.16623859844271,0.202265016685206,0.133250278086763,0.279481090100111,0.0531320912124583,0.0721134593993328,0.00797803114571746,0.00233898776418242,0,0,0,0,0,0,0,1616.0286429366,98.0628392658508,9.72517714126808,7.9066666666667,58.386666666667,991.13166666667,1016.2316666667,280,3.8,2.4033333333333,0,35.8,22.9,21.4,14,23.4,20,20.4,25.4,18.1,13.9
11-Feb-2022 01:00:00,2.46256852933,1.49035474006116,0.383852376980819,0.137799833194329,0.154555184876285,0.809953572421459,0.321083402835696,2.42367306088408,1.15347762023909,0.851889352237976,0,0,0,0,0,0,0,89.6420191826522,12.6538957464554,1.07242702251877,0.196056713928274,0.133530164025577,0.305358910202947,0.0532160133444538,0.079019738671115,0.00870308590492077,0.00239004726160689,0,0,0,0,0,0,0,1715.30692243536,104.146605226578,10.189192382541,7.3866666666667,62.553333333333,991.08166666667,1016.2266666667,248,3.4,2.1283333333333,0,30.8,18.5,21.1,14.3,24,19,17.9,24,18.7,15
11-Feb-2022 02:00:00,2.45236725048652,1.48180011120378,0.384693077564637,0.138802613288852,0.163369474562135,0.862957186544344,0.407067556296915,3.1754676118988,1.45678787878788,0.918590492076731,0,0,0,0,0,0,0,89.2705790936892,12.5813338893522,1.07477286627745,0.197529886016125,0.141254378648875,0.325337503475118,0.0675056991937726,0.10356519321657,0.0109947178204059,0.00257714762301918,0,0,0,0,0,0,0,1709.0722824576,103.775204892966,11.441956352516,7.1233333333333,62.935,990.68166666667,1015.85,261,3.5,1.8633333333333,0,31.1,20.8,21.9,12.8,21.2,24.1,20.7,22,19.7,16.3
11-Feb-2022 03:00:00,2.82135223797609,1.88431248262441,0.511739227133723,0.18585738115096,0.199130664442591,1.0486880733945,0.610681679177094,5.88382235195997,3.09720155685293,2.45254100639422,0,0,0,0,0,0,0,102.702335835418,15.9988618293022,1.42969863775368,0.264535724214624,0.172190714484294,0.395344175701974,0.101274951348347,0.191851820961914,0.0233500139004726,0.00686794551014734,0,0,0,0,0,0,0,1993.33778148457,121.28599499583,18.6954184042257,6.8683333333333,63.265,990.72666666667,1015.9266666667,256,2.5,1.5983333333333,0,32.4,21.7,20.9,11.2,21.3,26.2,24,22.5,20,16.1
11-Feb-2022 04:00:00,3.19062663330553,2.13119321656936,0.595837086460939,0.23514845704754,0.264809841534612,1.4878443147067,1.11257992771754,11.5591809841534,5.77579510703364,4.33804170141785,0,0,0,0,0,0,0,116.144953850431,18.0949441201001,1.66467445093133,0.334780094523216,0.228925771476232,0.560956908534892,0.184352515985545,0.376872115651934,0.043464553794829,0.0121253822629969,0,0,0,0,0,0,0,2257.8682235196,137.64560411454,30.6910658882402,6.7133333333333,63.765,990.9,1016.1,279,2.2,1.4833333333333,0,41.8,19.5,22.6,11.3,23.2,23.1,23.1,30.3,24,17.2
11-Feb-2022 05:00:00,3.50652821795941,2.29325827078121,0.637566861273283,0.253541562413122,0.291830970252987,1.62664581595774,1.24289769252155,13.2025821517932,7.51414039477341,6.26376702807895,0,0,0,0,0,0,0,127.644272727273,19.4710022240756,1.78126605504587,0.360727550736727,0.252101195440647,0.613235195996665,0.205760077842649,0.430277453433419,0.0564753961634695,0.0174842924659438,0,0,0,0,0,0,0,2470.47845426745,150.83298999166,36.83274617737,6.61,64.178333333333,990.87833333333,1016.0783333333,274,2.2,1.1516666666667,0.005,55.6,31.1,28.7,13.4,26.3,23.4,25.7,31.8,28.6,19.6
11-Feb-2022 06:00:00,4.03210314150681,2.45091353906033,0.624587711982208,0.233289129830414,0.257758687795384,1.33312176814012,0.61981428968585,4.42229774812344,2.23707089241034,2.30815929941618,0,0,0,0,0,0,0,146.775788990826,20.809551292744,1.74502279677509,0.331949958298583,0.222710592160135,0.502582707812066,0.102563525159856,0.144064776202392,0.0167842646649986,0.00642980261328885,0,0,0,0,0,0,0,2789.18237420072,170.65773589102,18.519084792883,5.9816666666667,72.298333333333,990.965,1016.2416666667,328,2,1.1083333333333,0.0083333333333333,63.8,25.2,32.7,20.6,38.4,27.2,17.7,36.4,31.6,21
11-Feb-2022 07:00:00,4.01447094801223,2.38170781206561,0.64952571587434,0.262201000834028,0.303676396997497,1.58559855435085,0.905729774812348,7.01567973311092,3.80465526827912,3.62132249096469,0,0,0,0,0,0,0,146.133981095357,20.2220227967751,1.814658882402,0.373104531554074,0.262388379204894,0.597766472060051,0.149915485126495,0.228620517097582,0.0285615790936892,0.0100931331665277,0,0,0,0,0,0,0,2775.71226021685,169.821302196275,24.5431662496525,6.005,75.19,990.76666666667,1016.0333333333,109,1.4,0.65,0,48.8,31.9,16.2,15,11.9,27.2,6.3,26,29.9,11.2
11-Feb-2022 08:00:00,3.61667028078955,2.18710536558243,0.745380038921323,0.338671392827356,0.394543508479289,2.16379482902419,1.62663024742841,14.2268012232416,8.18450347511815,8.71446566583264,0,0,0,0,0,0,0,131.65331971087,18.5696305254379,2.08248234639978,0.481930497636921,0.34090519877676,0.815747289407839,0.269316096747292,0.463676118988048,0.0615023630803447,0.0243205448985265,0,0,0,0,0,0,0,2533.77953850431,154.763133166528,42.1985526827913,6.1266666666667,75.36,990.43666666667,1015.6533333333,134,1.5,0.74,0,55.4,27.7,24.5,14.9,10,25,10.9,22.1,30.9,9.2
